"He aided the Doukhobors in migrating to Canada .","aid","[u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'', u'']","[u'tending', u'attention', u'help', u'assistance', u'assist', u'economic_aid', u'care', u'financial_aid']","['N']","[u'help to ', u""lend one's aid"", u'humor ', u'help ', u'befriend ', u'aidance', u'subvention ', u'assist', u'help', u'succor', u'second ', u'promote ', u'nurture ']","['N']"
"Most digital media are based on translating analog data into digital data and vice-versa .","translate","[u'turning', u'changing', u'rewording', u'converting', u'changing', u'changing', u'transferring', u'changing', u'changing', u'converting', u'changing', u'changing', u'rewording', u'changing', u'running', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'changing', u'converting', u'changing', u'turning', u'changing', u'understanding', u'changing', u'changing', u'making', u'changing', u'turning', u'changing', u'converting', u'changing', u'changing', u'turning', u'changing', u'explaining', u'turning', u'moving', u'changing', u'decoding', u'converting', u'changing', u'changing', u'changing', u'changing', u'rewording', u'', u'']","[u'render', u'read', u'transform', u'understand', u'interpret']","['N']","[u'render', u'explain', u'prefer', u'ordain', u'define', u'consecrate', u'call', u'interpret', u'construe', u'present', u'induct']","['N']"
"""Notrium is played from a top-down perspective , giving an overhead view of proceedings .""","perspective","[u'viewpoint', u'view', u'angle', u'view', u'point-of-view', u'view', u'view', u'outlook', u'view', u'view', u'viewpoint', u'point-of-view', u'view', u'view', u'view', u'view', u'viewpoint', u'view', u'view', u'viewpoint', u'view', u'view', u'viewpoint', u'view', u'view', u'view', u'view', u'view', u'viewpoint', u'viewpoint', u'view', u'view', u'view', u'view', u'angle', u'view', u'viewpoint', u'view', u'point-of-view', u'view', u'view', u'outlook', u'viewpoint', u'angle', u'view', u'view', u'point-of-view', u'view', u'view', u'view', u'view', u'']","[u'position', u'linear_perspective', u'view']","['Y']","[u'lookout', u'prospect', u'outlook', u'sciagraphy', u'picture', u'scenery', u'vista', u'tableau', u'horizon', u""bird's-eye view"", u'skiagraphy', u'landscape']","['Y']"
"""Montgomery County of the U.S. state of Maryland is situated just north of Washington , D.C. and southwest of Baltimore .""","situate","[u'located', u'located', u'located', u'located', u'located', u'located', u'located', u'placed', u'located', u'found', u'located', u'located', u'located', u'placed', u'found', u'located', u'found', u'placed', u'located', u'located', u'located', u'located', u'located', u'sitting', u'located', u'located', u'located', u'located', u'located', u'located', u'set', u'located', u'located', u'located', u'located', u'located', u'found', u'located', u'located', u'located', u'located', u'located', u'located', u'set', u'located', u'located', u'located', u'located', u'located', u'located', u'', u'']","[u'locate', u'posit', u'fix', u'deposit']","['N']","[u'locate', u'embosomed', u'set', u'rooted', u'make a place for', u'ensconced', u'seat', u'lodge', u'imbedded', u'station', u'place', u'lay', u'install', u'put', u'localize', u'post', u'quarter', u'situated', u'posited']","['Y']"
"""In 1639 , Williams established a Baptist church in Providence , Rhode Island , and Clarke began a Baptist church in Newport , Rhode Island .""","establish","[u'completed', u'started', u'founded', u'created', u'started', u'made', u'set up', u'built', u'began', u'founded', u'founded', u'began', u'started', u'started', u'started', u'made', u'started', u'created', u'created', u'started', u'started', u'founded', u'started', u'started', u'made', u'created', u'made', u'owns', u'made', u'started', u'started', u'started', u'created', u'made', u'started', u'began', u'built', u'started', u'founded', u'started', u'founded', u'created', u'made', u'started', u'started', u'started', u'started', u'started', u'created', u'created', u'', u'']","[u'plant', u'give', u'lay_down', u'launch', u'institute', u'make', u'prove', u'set_up', u'instal', u'constitute', u'shew', u'base', u'build', u'install', u'demonstrate', u'show', u'found', u'ground']","['N']","[u'compose', u'set', u'make good', u'pin', u'prove', u'institute', u'fix', u'stabilitate', u'stablish', u'verify', u'constitute', u'settle', u'quote chapter and verse', u'authenticate', u'substantiate', u'ascertain', u'organize', u'demonstrate', u'root']","['N']"
"John McCain polled 62.5 % in the 2008 Presidential Election while 70.9 % of Utahns opted for George W. Bush in 2004 .","*opt","[u'voted', u'voted', u'chose', u'voted', u'choose', u'elected', u'chose', u'voted', u'voted', u'decided', u'chose', u'voted', u'selected', u'chose', u'chose', u'went', u'decided', u'voted', u'voted', u'voted', u'marked', u'settled', u'hoped', u'chose', u'chose', u'decided', u'voted', u'voted', u'voted', u'voted', u'chose', u'chose', u'decided', u'voted', u'chose', u'voted', u'chose', u'decided', u'voted', u'went', u'preferred', u'voted', u'voted', u'chose', u'voted', u'chose', u'voted', u'chose', u'choose', u'went', u'voted', u'']","[u'prefer', u'choose']","['Y']","[]","['N']"
"""In 1971 , she witnessed the impoverished conditions of the trash collectors in Cairo , Egypt , and decided to live among them .""","witness","[u'saw', u'saw', u'saw', u'saw', u'saw', u'noticed', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'seen', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'saw', u'observed', u'saw', u'saw', u'', u'']","[u'looker', u'viewer', u'attestant', u'find', u'watcher', u'witnesser', u'see', u'attestor', u'spectator', u'informant', u'attestator']","['N']","[u'voucher', u'indicator', u'speculate', u'observer', u'contemplate', u'depose', u'beholder', u'vouch for', u'passer by', u'testify', u'according to', u'bystander', u'see', u'behold ', u'eyewitness', u'spectator', u'a fortiori', u'looker-on', u'hostile witness', u'onlooker']","['N']"
"""In addition to local research conducted at the radio telescope , Parkes scientists have assisted NASA for several missions as a Southern Hemisphere relay and communications station .""","assist","[u'helped', u'helped', u'aided', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'aided', u'helped', u'helped', u'helped', u'aided', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'been used by', u'helped', u'helped', u'aided', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'supported', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'', u'']","[u'help', u'wait_on', u'attend', u'assistance', u'serve', u'aid', u'attend_to']","['N']","[u""lend one's aid"", u'aid', u'help', u'succor']","['N']"
"""Some features , however , are reminiscent of the Scout movement .""","reminiscent","[u'similar', u'similar ', u'suggestive', u'similar', u'comparitive', u'made', u'familiar', u'remindful', u'memorable', u'reminders', u'similar', u'memorable', u'memorable', u'similar', u'remindful', u'remindful', u'familiar', u'similar', u'like features', u'similar', u'similar to', u'piec', u'echoes', u'reminders', u'recolescent', u'similar', u'telltale', u'like', u'remindful', u'similar', u'replicas', u'like', u'remindful', u'reminders', u'similar', u'suggestive', u'reminders', u'similar', u'nostalgic', u'remindful', u'similar to', u'similiar to', u'similar', u'remindful', u'remindful', u'reminding of', u'similar to (remove of)', u'reminders', u'reminded of', u'evocative', u'', u'']","[u'remindful', u'evocative', u'redolent', u'resonant']","['Y']","[]","['N']"
"""This spelling was later corrupted to Ouisconsin by other French explorers , and over time this version became the French name for both the Wisconsin River and the surrounding lands .""","version","[u'form', u'form', u'form', u'kind', u'word', u'type', u'type', u'term', u'form', u'one', u'story', u'spelling', u'type', u'one', u'edition', u'form', u'type', u'one', u'one', u'spelling', u'form', u'type', u'spelling', u'story', u'kind', u'style', u'form', u'type', u'form', u'form', u'edition', u'form', u'form', u'spelling', u'kind', u'form', u'kind', u'type', u'name', u'form', u'form', u'type', u'impression', u'part', u'update', u'story', u'type', u'alternative ', u'name', u'way', u'', u'']","[u'interpretation', u'rendering', u'interlingual_rendition', u'variant', u'variation', u'edition', u'adaptation', u'translation', u'reading']","['Y']","[u'light', u'construction', u'reading', u'lection']","['N']"
"""Historians are undecided if Lincoln actually said this line , and in a letter that Stowe wrote to her husband a few hours after meeting with Lincoln no mention of this comment was made .""","undecided","[u'unsure', u'unsure', u'unsure', u'unsure', u'unclear', u'wishy-washy', u'unsure', u'unsure', u'unsure', u'confused', u'unsure', u'unsure', u'not sure', u'unclear', u'unsure', u'unsure', u'unsure', u'unsure', u'confused', u'unsure', u'unsure', u'unsure', u'doubtful', u'unsure', u'not sure', u'not sure', u'unsure', u'not sure', u'unsure', u'not sure', u'unconvinced', u'unsure', u'unsure', u'unsure', u'unsure', u'unsure', u'unsure', u'unsure', u'unsure', u'unsure', u'unsure', u'unsure', u'unsure', u'unsure', u'unsure', u'unsure', u'unsure', u'unsure', u'unsure', u'unsure', u'', u'']","[u'undetermined', u'unresolved', u'open', u'on_the_fence']","['N']","[u'undetermined', u'untried', u'unresolved', u'unsettled']","['N']"
"None of your watched items were edited in the time period displayed .","edit","[u'changed', u'changed', u'changed', u'changed', u'changed', u'changed', u'changed', u'changed', u'changed', u'changed', u'changed', u'changed', u'looked at', u'changed', u'changed', u'changed', u'refined', u'changed', u'changed', u'changed', u'changed', u'changed', u'changed', u'changed', u'changed', u'revise', u'changed', u'changed', u'finished', u'changed', u'changed', u'changed', u'changed', u'changed', u'changed', u'changed', u'fixed', u'revised ', u'revised', u'changed', u'changed', u'changed', u'changed', u'scanned', u'changed', u'changed', u'changed', u'shortened ', u'changed', u'changed', u'', u'']","[u'cut', u'edit_out', u'blue-pencil', u'redact', u'delete']","['N']","[u'emit', u'get out']","['N']"
"""It is the teaching that , as a consequence of the Fall of Man , every person born into the world is enslaved to the service of sin and , apart from the efficacious or prevenient grace of God , is utterly unable to choose to follow God or choose to accept salvation as it is freely offered .""","efficacious","[u'ever', u'present', u'showy', u'useful', u'effective', u'capable', u'effective', u'strong', u'valuable', u'effective', u'powerful', u'effective', u'effective', u'effective', u'active', u'capable', u'efficient', u'helpful', u'capable', u'powerful', u'effective', u'generous', u'powerful', u'effective', u'power', u'kindness', u'effective', u'capable', u'effective', u'capable', u'powerful', u'effect', u'active', u'active', u'efficient', u'effective', u'active', u'effective', u'successful', u'potent', u'effective', u'effective', u'productive', u'influential', u'impelling', u'powerful', u'productive', u'strong', u'active', u'effective', u'productive', u'effective']","[u'effectual', u'effective']","['Y']","[u'effective', u'efficient', u'practical', u'effectual', u'competent', u'adequate', u'operative']","['Y']"
"OpenOffice.org Calc is the spreadsheet component of the OpenOffice.org software package .","*component","[u'part', u'part', u'piece', u'part', u'part', u'part ', u'part', u'part', u'piece', u'piece', u'part', u'part', u'part', u'part', u'segment', u'part', u'software', u'element', u'part', u'equal', u'part', u'part', u'part', u'part', u'part', u'part', u'tool', u'part', u'part', u'part', u'part', u'part', u'part', u'part', u'part', u'part', u'part', u'part', u'element', u'part', u'part', u'piece', u'part', u'part', u'part', u'part', u'part', u'section', u'part', u'part', u'', u'']","[u'component_part', u'element', u'portion', u'part', u'factor', u'constituent', u'ingredient']","['Y']","[u'complexity ', u'throw into disorder ', u'bring into disorder', u'put into disorder', u'disorder ', u'entanglement', u'complex ']","['N']"
"When a fair weather waterspout makes landfall it quickly dissipates as it loses the inflow of warm air into the vortex .","dissipate","[u'evaporates', u'disolves', u'fades', u'evaporates', u'goes away', u'disappears', u'begins to melt away', u'fades', u'disappears', u'spreads', u'spreads', u'disappears', u'wastes ', u'clears', u'scattered', u'disappears', u'disappears', u'lessens', u'fades', u'disappears', u'vanishes', u'vaporizes', u'fizzles', u'goes away', u'depeletes', u'shrinks', u'disappears', u'disappears ', u'disappears', u'disperses', u'breaks up', u'scatters', u'lessens', u'falls apart', u'spreads', u'diminishes', u'slows', u'disappears', u'dissolves ', u'scatters', u'disappears', u'wastes', u'disappears', u'goes away', u'scatters', u'stops', u'dispels', u'scatters', u'lessens', u'breaks up', u'', u'']","[u'shoot', u'fool', u'fool_away', u'frivol_away', u'break_up', u'fritter_away', u'dispel', u'disperse', u'spread_out', u'fritter', u'scatter']","['N']","[u'exhaust', u'eat out of house and home', u'drain', u'overdraw', u'spill', u'outrun the constable', u'dispel', u'waste', u'dissolve']","['N']"
"""The central planets are firmly under Alliance control , but the outlying planets and moons resemble the 19th century American West , with little governmental authority .""","outlying","[u'outer', u'surrounding', u'far', u'outer', u'distant', u'outer', u'remote', u'farthest', u'outer', u'outer', u'distant', u'outer', u'outer', u'more distant', u'outer', u'further away', u'outer', u'backwoods', u'outer', u'far out', u'surrounding', u'outer', u'far off', u'distant', u'other', u'far away', u'further', u'distant', u'far', u'distant', u'outer', u'more distant', u'outer', u'distant', u'outer ', u'remote', u'outer', u'outer', u'distant', u'outer', u'outer', u'outer', u'furthest', u'outer', u'farther', u'distant', u'distant', u'outer', u'distant', u'outer', u'', u'']","[]","['N']","[u'outdoor', u'outside', u'outstanding', u'outward']","['N']"
"""Lancelot de Carles called her `` beautiful with an elegant figure '' , and a Venetian in Paris in 1528 also reported that she was said to be beautiful .""","report","[u'said', u'said', u'told', u'stated', u'said', u'stated', u'stated', u'stated', u'wrote', u'declared', u'wrote', u'said', u'indicated', u'said', u'said', u'wrote', u'said', u'said', u'said', u'said', u'said', u'said', u'said', u'said', u'stated', u'noted', u'said', u'noted', u'said', u'told', u'stated', u'said', u'stated', u'said', u'noted', u'stated', u'said', u'said', u'claimed', u'said', u'told', u'announced', u'wrote', u'stated', u'said', u'said', u'said', u'said', u'mentioned', u'stated', u'', u'']","[u'story', u'write_up', u'study', u'describe', u'cover', u'account', u'composition', u'written_report', u'report_card', u'theme', u'paper', u'news_report', u'reputation']","['N']","[u'criticism', u'monition', u'hearsay', u'news stirring', u'on dit', u'critique', u'thud', u'fame', u'specification', u'draw up a statement', u'statement', u'notice', u'description', u'advice', u'make a report', u'report progress', u'award', u'estimate', u'rumor', u'case', u'account', u'flying rumor', u'bruit', u'cry', u'arbitrate', u'buzz', u'review']","['N']"
